title,total_sales,release_date,critic_score,genre,publisher
Shiren the Wanderer,0.19,2010-02-09,7.4,Role-Playing,Atlus
Shogun: Total War,0.01,2000-06-13,8.8,Strategy,Electronic Arts
Shonen Jump's One Piece: Pirates Carnival,0.08,2006-09-12,4.6,Misc,Namco Bandai
Shrek 2,3.43,2004-04-28,4.6,Platform,Activision
Shrek Extra Large,0.17,2002-10-31,3.0,Platform,TDK Mediactive
Shrek Super Party,0.05,2003-05-30,4.9,Misc,TDK Mediactive
Sid Meier's Civilization II,0.0,1996-02-29,9.1,Strategy,Microprose
Sid Meier's Civilization III,0.0,2001-10-30,8.6,Strategy,Infogrames
Sid Meier's Civilization Revolution,2.06,2008-07-08,8.2,Strategy,2K Games
Sid Meier's Civilization VI,0.25,2018-11-16,9.4,Strategy,2K Games
Sid Meier's Pirates!,0.36,2007-01-22,6.5,Strategy,2K Games
Silent Hill: Homecoming,0.8400000000000001,2008-09-30,7.4,Action,Konami
Silent Hill: Origins,0.52,2007-11-06,7.8,Action,Konami
Silent Hill: Shattered Memories,1.3699999999999999,2009-12-08,7.3,Adventure,Konami
Sim Theme Park,2.71,1999-10-24,8.1,Strategy,Electronic Arts
SimAnimals Africa,0.12,2009-10-27,5.5,Simulation,Electronic Arts
SimCity 2000,2.14,1993-01-01,8.0,Simulation,Maxis
SimCity 3000 Unlimited,0.01,2000-05-16,6.9,Simulation,Electronic Arts
SimCity 4,0.28,2003-01-12,8.7,Simulation,Electronic Arts
Sin and Punishment: Star Successor,0.43,2010-06-27,8.4,Shooter,Nintendo
Sine Mora EX,0.04,2017-09-26,8.0,Action,THQ Nordic
Sing Party,0.3,2012-11-18,6.8,Party,Nintendo
SingStar,1.86,2004-05-21,8.0,Misc,Sony Computer Entertainment
SingStar Queen,0.44,2009-08-04,6.8,Misc,Sony Computer Entertainment
Singularity,0.61,2010-06-29,7.5,Shooter,Activision
Siren: Blood Curse,0.28,2008-07-24,8.3,Action-Adventure,Sony Computer Entertainment
Skate 2,1.9300000000000002,2009-01-21,8.2,Sports,Electronic Arts
Skate 3,2.71,2010-05-11,8.3,Sports,EA Sports
Skate it,0.58,2008-11-19,6.6,Sports,Electronic Arts
Skies of Arcadia,0.09,2000-11-13,9.2,Role-Playing,Sega
Skies of Arcadia Legends,0.22,2003-01-27,8.6,Role-Playing,Sega
Skylanders Imaginators,0.23,2017-03-03,6.9,Platform,Activision
Skylanders SWAP Force,0.27,2013-10-13,7.7,Platform,Activision
Skylanders: Spyro's Adventure,3.73,2011-10-16,8.0,Action,Activision
Skylanders: SuperChargers,0.59,2015-09-20,8.0,Action-Adventure,Activision
Sleeping Dogs,1.9100000000000001,2012-08-14,7.9,Action-Adventure,Square Enix
Sleeping Dogs: Definitive Edition,0.2,2014-10-14,7.5,Action-Adventure,Square Enix
Smarty Pants,1.43,2007-11-13,6.5,Misc,Electronic Arts
Smashing Drive,0.07,2002-02-18,4.7,Racing,Namco
Sniper Elite,0.02,2005-10-27,7.4,Shooter,Namco
Sniper Elite V2,1.8399999999999999,2012-05-01,7.0,Shooter,505 Games
Sniper: Ghost Warrior,1.9899999999999998,2010-06-29,4.3,Shooter,City Interactive
"Snipperclips Plus: Cut It Out, Together!",0.12,2017-03-03,8.2,Puzzle,Nintendo
Snowboard Kids,0.2,1997-01-01,8.0,Sports,Atlus
Solatorobo: Red the Hunter,0.2,2011-09-27,7.6,Role-Playing,Xseed Games
Sonic & SEGA All-Stars Racing,3.46,2010-02-23,7.9,Racing,Sega
Sonic & SEGA All-Stars Racing with Banjo-Kazooie,0.77,2010-02-23,7.7,Racing,Sega
Sonic & Sega All-Stars Racing Transformed,0.53,2012-11-18,6.9,Racing,Sega
Sonic Adventure,2.42,1999-09-09,8.9,Platform,Sega
Sonic Adventure 2,0.12,2001-06-18,8.9,Platform,Sega
Sonic Boom: Fire & Ice,0.25,2016-09-27,6.9,Platform,Sega
Sonic Boom: Rise of Lyric,0.31,2014-11-11,3.7,Action-Adventure,Sega
Sonic Boom: Shattered Crystal,0.29,2014-11-11,3.8,Platform,Sega
Sonic Chronicles: The Dark Brotherhood,0.88,2008-09-30,7.3,Role-Playing,Sega
Sonic Classic Collection,1.86,2010-03-02,7.5,Platform,Sega
Sonic Forces,0.74,2017-11-07,5.4,Platform,Sega
Sonic Free Riders,1.1,2010-11-04,4.9,Racing,Sega
Sonic Gems Collection,0.42,2005-08-16,6.9,Misc,Sega
Sonic Generations,4.15,2011-11-01,6.3,Platform,Sega
Sonic Lost World,0.85,2013-10-29,5.2,Platform,Sega
Sonic Mania,0.47,2017-08-15,8.8,Platform,Sega
Sonic Riders: Zero Gravity,0.91,2008-01-08,5.8,Racing,Sega
Sonic Rivals,1.44,2006-11-16,7.0,Racing,Sega
Sonic Rivals 2,1.52,2007-11-13,6.4,Racing,Sega
Sonic Unleashed,2.74,2008-11-18,5.3,Platform,Sega
Sonic's Ultimate Genesis Collection,3.84,2009-02-10,8.1,Misc,Sega
Soul Blade,1.59,1997-01-01,8.6,Fighting,Namco
Soul Bubbles,0.08,2008-06-10,7.0,Puzzle,Eidos Interactive
Soul Calibur IV,0.01,2008-07-29,8.4,Fighting,Namco Bandai Games
SoulCalibur II,1.5,2003-08-27,9.2,Fighting,Namco
SoulCalibur II(JP sales),0.03,2003-08-27,9.3,Fighting,Namco
SoulCalibur Legends,0.18,2007-11-20,4.8,Action,Namco Bandai
SoulCalibur: Broken Destiny,0.51,2009-09-01,8.0,Fighting,Namco Bandai
South Park,1.8499999999999999,1998-12-12,1.7,Shooter,Acclaim Entertainment
South Park Rally,0.36,1999-11-30,3.9,Racing,Acclaim Entertainment
South Park: Chef's Luv Shack,0.55,1999-10-31,3.1,Misc,Acclaim Entertainment
South Park: The Fractured But Whole,0.14,2018-04-24,9.5,Role-Playing,Ubisoft
Space Invaders Extreme,0.24,2008-06-17,8.2,Shooter,Square Enix
Space Invaders Extreme 2,0.19,2009-10-20,8.1,Shooter,Taito
Space Raiders,0.01,2004-04-19,2.9,Shooter,Mastiff
Space Siege,0.0,2008-08-12,4.0,Role-Playing,Sega
Space Station Silicon Valley,0.15,1998-01-01,8.3,Adventure,Take-Two Interactive
Spartan: Total Warrior,0.42000000000000004,2005-10-25,7.0,Action,Sega
Spawn the Eternal,0.24,1997-12-01,1.9,Action,Sony Computer Entertainment
Spectral Force 3,0.09,2008-07-29,5.9,Role-Playing,Atlus
Spectrobes,0.75,2007-03-06,6.2,Role-Playing,Disney Interactive Studios
Spectrobes: Beyond the Portals,0.52,2008-10-07,7.3,Role-Playing,Disney Interactive Studios
Spectrobes: Origins,0.19,2009-08-18,7.4,Role-Playing,Disney Interactive Studios
Speed Kings,0.02,2003-05-28,6.7,Racing,Acclaim Entertainment
SpellForce 2: Shadow Wars,0.0,2006-05-02,8.2,Strategy,Aspyr
Spelling Challenges and more!,0.25,2007-09-25,4.5,Misc,Crave Entertainment
Sphinx and the Cursed Mummy,0.14,2003-11-10,8.4,Adventure,THQ
Spider-Man 2,7.63,2004-06-28,6.1,Action,Activision
Spider-Man 3,3.41,2007-05-04,4.4,Platform,Activision
Spider-Man: Edge of Time,0.37,2011-10-04,5.5,Action,Activision
Spider-Man: Friend or Foe,1.46,2007-10-02,5.0,Action,Activision
Spider-Man: Shattered Dimensions,0.6,2010-09-07,7.5,Action,Activision
Spider-Man: The Movie,8.4,2002-04-15,7.6,Action,Activision
Spider-Man: Web of Shadows,1.24,2008-10-21,5.3,Action,Activision
Spider-Man: Web of Shadows - Amazing Allies Edition,0.16,2008-10-21,7.7,Action,Activision
Spirit Camera: The Cursed Memoir,0.25,2012-04-13,5.7,Action-Adventure,Nintendo
Split/Second,0.6,2010-05-18,8.4,Racing,Disney Interactive Studios
SpongeBob SquarePants: Battle for Bikini Bottom,3.19,2003-10-31,5.8,Platform,THQ
SpongeBob SquarePants: The Yellow Avenger,0.92,2006-03-06,5.7,Action,THQ
SpongeBob SquigglePants,0.41,2011-04-12,5.4,Misc,THQ
SpongeBob SquigglePants 3D,0.19,2011-05-17,6.1,Misc,THQ
Spore,1.16,2008-09-07,7.0,Strategy,Electronic Arts
Spore Creatures,1.07,2008-09-07,7.2,Simulation,Electronic Arts
Spore Hero,0.4,2009-10-06,5.8,Simulation,Electronic Arts
Spore Hero Arena,0.19,2009-10-06,4.9,Simulation,Electronic Arts
Sports Champions,3.88,2010-09-17,7.6,Sports,Sony Computer Entertainment
Spot Goes to Hollywood,0.07,1996-11-30,4.4,Platform,Virgin Interactive
Spy Games: Elevator Mission,0.06,2007-11-16,2.0,Shooter,Tommo
Spy Hunter,0.2,2002-03-11,7.9,Racing,Midway Games
Spyborgs,0.11,2009-09-22,6.3,Action,Capcom
Spyro: A Hero's Tail,0.29,2004-11-03,6.4,Platform,VU Games
Spyro: Enter the Dragonfly,0.71,2002-11-08,5.0,Platform,VU Games
Star Fox Command,0.53,2006-08-28,7.2,Shooter,Nintendo
Star Fox: Assault,1.08,2005-02-14,6.6,Shooter,Nintendo
Star Fox: Zero,0.44,2016-04-22,6.7,Shooter,Nintendo
Star Ocean: First Departure,0.65,2008-10-21,7.5,Role-Playing,Square Enix
Star Ocean: Second Evolution,0.34,2009-01-20,8.0,Role-Playing,Square Enix
Star Ocean: The Last Hope International,0.73,2010-02-09,8.1,Role-Playing,Square Enix
Star Trek Bridge Crew,0.28,2017-05-30,6.8,Action,Ubisoft
Star Trek Online,0.02,2010-02-02,5.9,Role-Playing,Atari
Star Trek: Conquest,0.11,2007-11-20,6.3,Strategy,Bethesda Softworks
Star Trek: Legacy,0.19999999999999998,2006-12-05,5.3,Simulation,Bethesda Softworks
Star Trek: The Game,0.21,2013-04-23,5.2,Action-Adventure,Namco Bandai Games
Star Wars Battlefront,3.61,2004-09-20,8.1,Shooter,LucasArts
Star Wars Battlefront (2015),12.67,2015-11-17,6.9,Shooter,Electronic Arts
Star Wars Battlefront II,4.81,2005-11-01,6.9,Shooter,LucasArts
Star Wars Battlefront: Elite Squadron,1.26,2009-11-03,5.9,Shooter,LucasArts
Star Wars Battlefront: Renegade Squadron,1.68,2007-10-09,7.5,Shooter,LucasArts
Star Wars Episode I: Battle for Naboo,0.26,2000-12-13,8.5,Simulation,LucasArts
Star Wars Episode III: Revenge of the Sith,0.31,2005-05-04,7.3,Action,Ubisoft
Star Wars Jedi Knight II: Jedi Outcast,0.23,2002-03-26,7.1,Shooter,LucasArts
Star Wars Racer Revenge,0.31,2002-02-11,7.8,Racing,LucasArts
Star Wars Rogue Leader: Rogue Squadron II,1.9,2001-11-09,9.2,Simulation,LucasArts
Star Wars Rogue Squadron III: Rebel Strike,0.8,2003-10-15,8.3,Simulation,LucasArts
Star Wars The Clone Wars: Republic Heroes,1.2000000000000002,2009-10-06,4.8,Action,LucasArts
Star Wars: Clone Wars,0.4,2002-10-28,7.3,Shooter,LucasArts
Star Wars: Knights of the Old Republic,2.19,2003-07-17,9.4,Role-Playing,LucasArts
Star Wars: Lethal Alliance,0.13,2006-12-07,6.3,Adventure,Ubisoft
Star Wars: Masters of Teras Kasi,0.68,1997-10-31,6.8,Action,LucasArts
Star Wars: The Force Unleashed,7.94,2008-09-16,6.8,Action,LucasArts
Star Wars: The Force Unleashed II,3.98,2010-10-26,4.0,Action,LucasArts
StarCraft II: Legacy of the Void,0.57,2015-11-10,8.8,Strategy,Blizzard Entertainment
Starcraft 64,0.16,2000-06-13,8.0,Strategy,Nintendo
Stardew Valley,0.13,2017-04-11,8.8,Simulation,505 Games
Starlink: Battle for Atlas,0.57,2018-10-16,7.5,Action-Adventure,Ubisoft
Starshot: Space Circus Fever,0.03,1999-06-30,5.2,Platform,Infogrames
Starsky & Hutch,1.26,2003-09-09,6.0,Racing,BAM! Entertainment
Start the Party!,0.62,2010-09-07,6.1,Misc,Sony Computer Entertainment
State of Decay 2,0.46,2018-05-22,7.0,Action-Adventure,Microsoft Studios
State of Emergency,1.76,2002-02-12,8.0,Action,Rockstar Games
Steambot Chronicles,0.04,2006-05-23,7.2,Role-Playing,Atlus
Steel Battalion,0.1,2002-11-21,7.7,Simulation,Capcom
Steel Diver,0.5,2011-03-27,5.6,Action,Nintendo
Stella Deus: The Gate of Eternity,0.08,2005-04-26,7.3,Strategy,Atlus
Stella Glow,0.26,2015-11-17,7.5,Role-Playing,Atlus
Still Life,0.0,2005-05-04,6.4,Adventure,The Adventure Company
Still Life 2,0.02,2009-08-11,7.3,Adventure,Encore
Stoked: Big Air Edition,0.04,2009-11-23,8.6,Sports,Destineer
Stormrise,0.15,2009-03-24,4.4,Strategy,Sega
Story of Seasons,0.44,2015-03-31,7.7,Misc,Xseed Games
Story of Seasons: Trio of Towns,0.49,2017-02-28,7.9,Simulation,Marvelous Interactive
Stranglehold,0.83,2007-09-05,8.0,Shooter,Midway Games
Street Cleaning Simulator,0.01,2011-07-01,1.5,Simulation,Excalibur Publishing
Street Fighter 30th Anniversary Collection,0.19,2018-05-29,8.5,Fighting,Capcom
Street Fighter Alpha 2,1.34,1996-09-30,8.0,Fighting,Capcom
Street Fighter Alpha 3 MAX,0.33,2006-02-07,7.8,Fighting,Capcom
Street Fighter IV,7.2700000000000005,2009-02-17,9.1,Fighting,Capcom
Stronghold 3,0.19,2011-10-25,4.1,Strategy,SouthPeak Interactive
Stronghold Crusader Extreme,0.02,2008-06-02,4.3,Strategy,Gamecock
Style Savvy: Styling Star,0.45,2017-12-25,8.5,Simulation,Nintendo
Sudoku Ball Detective,0.06,2009-09-22,5.0,Puzzle,Playlogic Game Factory
Suikoden,0.6,1996-12-01,8.2,Role-Playing,Konami
Suikoden II,0.68,1999-09-29,8.5,Role-Playing,Konami
Suikoden III,0.98,2002-10-24,8.6,Role-Playing,Konami
Suikoden IV,0.66,2005-01-11,6.3,Role-Playing,Konami
Suikoden Tierkreis,0.27,2009-03-17,7.7,Role-Playing,Konami
Suikoden V,0.35,2006-03-21,7.9,Role-Playing,Konami
Summon Night: Twin Age,0.13,2008-06-03,7.3,Role-Playing,Atlus
Summoner: A Goddess Reborn,0.05,2003-01-31,8.0,Role-Playing,THQ
Sunset Overdrive,1.16,2014-10-28,8.0,Action,Microsoft Studios
Super Bomberman R,0.87,2017-03-03,6.3,Puzzle,Konami Digital Entertainment
Super Bubble Pop,0.05,2003-01-03,4.2,Puzzle,Jaleco
Super Lucky's Tale,0.22,2017-11-07,6.5,Platform,Microsoft Studios
Super Monkey Ball,1.46,2001-11-17,9.0,Puzzle,Sega
Super Monkey Ball 3D,0.5,2011-03-27,5.7,Action,Sega
Super Monkey Ball: Step & Roll,0.39,2010-02-09,6.0,Action,Sega
Super Scribblenauts,1.47,2010-10-12,7.9,Puzzle,Warner Bros. Interactive
Super Street Fighter IV: Arcade Edition,0.08,2011-07-05,8.5,Fighting,Capcom
Superman Returns,0.33,2006-11-20,3.8,Action,Electronic Arts
Supremacy MMA,0.21000000000000002,2011-09-20,5.0,Fighting,505 Games
Supreme Commander,0.13,2007-02-20,5.7,Strategy,Aspyr
Supreme Commander 2,0.34,2010-03-16,8.2,Strategy,Square Enix
Supreme Commander: Forged Alliance,0.04,2007-11-06,8.1,Strategy,THQ
Surf's Up,0.1,2007-05-30,6.2,Sports,Ubisoft
Sushi Striker: The Way of Sushido,0.07,2018-06-08,7.9,Puzzle,Nintendo
Syberia,0.03,2002-09-01,8.0,Adventure,The Adventure Company
Syberia II,0.02,2004-03-30,7.5,Adventure,The Adventure Company
Syphon Filter: Dark Mirror,0.3,2006-03-14,8.5,Shooter,Sony Computer Entertainment
Syphon Filter: Logan's Shadow,0.46,2007-10-02,8.4,Shooter,Sony Computer Entertainment
System Shock 2,0.0,1999-08-11,8.9,Role-Playing,Electronic Arts
TMNT,0.11,2007-03-20,3.6,Action,Ubisoft
TMNT: Mutant Melee,0.07,2005-03-16,4.2,Fighting,Konami
TNA iMPACT!,1.23,2008-09-09,5.3,Fighting,Midway Games
TNA iMPACT: Cross the Line,0.05,2010-06-22,3.5,Fighting,SouthPeak Interactive
TRINITY: Souls of Zill O'll,0.14,2011-02-08,5.5,Role-Playing,Tecmo Koei
TV Superstars,0.26,2010-10-12,6.2,Misc,Sony Computer Entertainment
Tactics Ogre: Let Us Cling Together,0.54,2011-02-15,9.0,Role-Playing,Square Enix
Tactics Ogre: The Knight of Lodis,0.5,2002-05-11,8.5,Role-Playing,Atlus
Taiko Drum Master,0.2,2004-10-26,8.1,Misc,Namco
Tail Concerto,0.03,1999-08-31,7.3,Adventure,Atlus
Tales of Destiny II,0.81,2001-09-10,7.5,Role-Playing,Namco
Tales of Vesperia,1.2,2008-08-26,8.0,Role-Playing,Namco Bandai
Tank! Tank! Tank!,0.07,2012-11-18,4.7,Misc,Namco Bandai Games
Tatsunoko vs. Capcom: Ultimate All-Stars,0.54,2010-01-26,8.3,Fighting,Capcom
Taz Wanted,0.31,2002-09-17,5.5,Platform,Atari
Team Fortress 2,0.0,2008-04-08,9.2,Shooter,Valve
Teen Titans,0.5800000000000001,2006-05-24,6.3,Action,THQ
Teenage Mutant Ninja Turtles,4.17,1989-06-01,5.9,Platform,Ultra Games
Teenage Mutant Ninja Turtles 2: Battle Nexus,0.19,2004-10-19,5.0,Action,Konami
Teenage Mutant Ninja Turtles: Arcade Attack,0.13,2009-11-10,4.3,Action,Ubisoft
Teenage Mutant Ninja Turtles: Smash-Up,0.5599999999999999,2009-09-22,7.2,Fighting,Ubisoft
Tekken 2,5.74,1996-08-25,9.1,Fighting,Namco
Tekken 3D: Prime Edition,0.21,2012-02-14,6.5,Fighting,Namco Bandai
Tekken 4,3.44,2002-09-23,7.9,Fighting,Namco
Tekken Advance,0.45,2002-01-28,8.3,Fighting,Namco
Tekken Hybrid,0.36,2011-11-22,4.0,Fighting,Namco
Tekken Tag Tournament,4.05,2000-10-25,8.7,Fighting,Namco
Tekken Tag Tournament 2,0.19,2012-11-18,8.1,Fighting,Namco Bandai Games
Tenchu 2: Birth of the Stealth Assassins,0.58,2000-08-07,8.5,Action,Activision
Tenchu Z,0.34,2007-06-12,5.7,Action,Microsoft
Tenchu: Shadow Assassins,0.32999999999999996,2009-02-05,7.0,Action,Ubisoft
Tenchu: Stealth Assassins,1.99,1998-08-31,8.8,Action,Activision
Tenkai Knights: Brave Battle,0.02,2014-10-07,4.5,Action,Namco Bandai Games
Terminator 3: The Redemption,0.02,2004-09-06,6.8,Shooter,Atari
Terminator Salvation,0.88,2009-05-19,5.0,Shooter,Warner Bros. Interactive
Teslagrad,0.0,2014-09-11,7.0,Platform,Rain Games
Test Drive Unlimited,0.85,2006-09-05,7.7,Racing,Atari
Test Drive Unlimited 2,1.5,2011-02-08,6.7,Racing,Atari
Tetris Axis,0.44,2011-10-02,7.8,Puzzle,Nintendo
Tetris Party Deluxe,0.56,2010-06-01,7.3,Puzzle,Majesco
Tetris Worlds,0.22,2002-06-23,4.6,Puzzle,THQ
The 3rd Birthday,0.52,2011-03-29,7.0,Role-Playing,Square Enix
The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron,0.26,2002-09-25,6.0,Action,THQ
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,0.35,2003-09-24,5.5,Platform,THQ
The Adventures of Tintin: The Game,0.24,2011-12-06,5.0,Adventure,Ubisoft
The Alliance Alive,0.11,2018-03-27,7.3,Role-Playing,Atlus
The Amazing Spider-Man (2012),1.84,2012-06-26,6.0,Action-Adventure,Activision
The Ant Bully,0.04,2006-07-24,5.2,Platform,Midway Games
The BIGS,0.11,2007-06-25,7.6,Sports,2K Sports
The BIGS 2,0.39,2009-07-07,6.3,Sports,2K Sports
The Beatles: Rock Band,4.140000000000001,2009-09-09,8.7,Misc,MTV Games
The Bible Game,0.12,2005-10-30,3.5,Misc,Crave Entertainment
The Biggest Loser,1.07,2009-10-06,7.7,Sports,THQ
The Biggest Loser: Ultimate Workout,0.9,2010-11-02,8.0,Sports,THQ
The Binding of Isaac: Afterbirth+,0.28,2017-03-17,9.0,Action,Nicalis
The Book of Unwritten Tales,0.1,2011-10-28,7.9,Adventure,DreamCatcher Interactive
The Chronicles of Narnia: Prince Caspian,0.18,2008-05-15,6.3,Adventure,Disney Interactive Studios
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",0.67,2005-11-14,6.8,Adventure,Buena Vista
The Chronicles of Riddick: Assault on Dark Athena,0.5499999999999999,2009-04-07,8.0,Shooter,Atari
The City of Lost Children,0.01,1997-05-31,4.9,Adventure,Psygnosis
The Club,0.27,2008-02-19,7.5,Shooter,Sega
The Con,0.21,2005-10-18,6.8,Fighting,Sony Computer Entertainment
The Crew 2,0.82,2018-06-29,6.5,Racing,Ubisoft
The Cursed Crusade,0.17,2011-10-25,4.0,Action,Atlus
The Darkness,0.44,2007-06-25,8.3,Shooter,2K Games
The Elder Scrolls III: Morrowind,2.86,2002-05-01,8.2,Role-Playing,Bethesda Softworks
The Elder Scrolls III: Morrowind Game of the Year Edition,1.03,2003-10-31,8.3,Role-Playing,Bethesda Softworks
The Elder Scrolls IV: Oblivion,7.84,2007-03-20,9.2,Role-Playing,Bethesda Softworks
The Elder Scrolls IV: Oblivion - Game of the Year Edition,0.0,2007-09-10,8.5,Role-Playing,2K Games
The Elder Scrolls IV: Shivering Isles,0.18,2007-10-16,8.9,Role-Playing,Bethesda Softworks
The Elder Scrolls Online: Summerset,0.1,2018-05-21,7.5,MMO,Bethesda Softworks
The Elder Scrolls V: Skyrim,20.51,2011-11-11,8.6,Role-Playing,Bethesda Softworks
The Elder Scrolls V: Skyrim Special Edition,5.1899999999999995,2016-10-28,8.1,Role-Playing,Bethesda Softworks
The Evil Within,2.55,2014-10-14,7.7,Action,Bethesda Softworks
The Eye of Judgment,0.34,2007-10-24,7.5,Strategy,Sony Computer Entertainment
The Fairly Odd Parents: Clash with the Anti-World,0.15,2005-10-18,3.5,Adventure,THQ
The Fairly Odd Parents: Shadow Showdown,0.35,2004-09-08,5.0,Platform,THQ
The Fifth Element,0.14,1998-09-30,3.7,Action,Activision
The Fight: Lights Out,0.59,2010-11-09,4.7,Fighting,Sony Computer Entertainment
The First Templar,0.1,2011-05-10,7.0,Adventure,Kalypso
The Flintstones: Big Trouble in Bedrock,0.03,2001-12-09,4.0,Platform,Crave Entertainment
The Getaway,3.54,2003-01-19,7.7,Action,Sony Computer Entertainment
The Godfather II,1.53,2009-04-07,6.2,Adventure,Electronic Arts
The Godfather: Blackhand Edition,0.15,2007-03-20,7.4,Adventure,Electronic Arts
The Godfather: Mob Wars,0.1,2006-09-19,6.2,Action,Electronic Arts
The Golden Compass,1.12,2007-12-04,2.8,Adventure,Sega
The Granstream Saga,0.14,1998-06-30,7.6,Role-Playing,THQ
The Grim Adventures Of Billy & Mandy,0.05,2006-11-16,6.6,Action,Midway Games
The Grim Adventures of Billy & Mandy,0.17,2006-09-25,7.2,Action,Midway Games
The Gunstringer,0.4,2011-09-13,7.6,Shooter,Microsoft Studios
The Haunted: Hell's Reach,0.02,2011-10-20,5.3,Shooter,Visco
The Hobbit,0.36,2003-11-11,5.0,Adventure,Sierra Entertainment
The House of The Dead III,0.39,2002-10-24,6.8,Shooter,Sega
The House of the Dead,0.13,1998-03-31,7.5,Shooter,Sega
The House of the Dead 2,0.26,1999-09-09,7.5,Shooter,Sega
The House of the Dead 2 & 3 Return,1.45,2008-03-11,6.5,Shooter,Sega
The House of the Dead: Overkill,0.85,2009-02-10,7.9,Shooter,Sega
The House of the Dead: Overkill - Extended Cut,0.37,2011-10-25,7.2,Shooter,Sega
The ICO & Shadow of the Colossus Collection,1.34,2011-09-27,9.0,Adventure,Sony Computer Entertainment
The Incredible Hulk,0.8200000000000001,2003-05-27,5.6,Action,Sega
The Incredible Hulk: Ultimate Destruction,0.15,2005-08-23,8.7,Action,VU Games
The Incredibles,5.2700000000000005,2004-10-26,5.4,Action,THQ
The Incredibles: Rise of the Underminer,0.63,2005-10-24,6.1,Action,THQ
The Invincible Iron Man,0.04,2002-12-15,6.4,Action,Activision
The King of Fighters '99,0.11,2001-04-22,7.0,Fighting,Agetec
The King of Fighters EX2: Howling Blood,0.08,2003-12-11,7.9,Fighting,Atlus
The King of Fighters XII,0.27,2009-07-28,6.0,Fighting,Ignition Entertainment
The King of Fighters XIII,0.3,2011-11-22,7.8,Fighting,Atlus
The King of Fighters: Dream Match 1999,0.1,1999-09-30,7.2,Fighting,SNK
The King of Fighters: Evolution,0.07,2001-05-10,7.6,Fighting,Agetec
The LEGO Movie Videogame,0.71,2014-02-07,6.0,Action-Adventure,Warner Bros. Interactive Entertainment
The Last Guardian,1.29,2016-12-06,7.9,Action-Adventure,Sony Interactive Entertainment
The Last Remnant,0.01,2009-03-24,7.3,Role-Playing,Square Enix
The Legend of Dragoon,1.86,2000-06-11,7.8,Role-Playing,Sony Computer Entertainment
The Legend of Heroes: A Tear of Vermillion,0.09,2005-11-15,6.9,Role-Playing,Bandai
The Legend of Heroes: Trails in the Sky,0.1,2011-03-29,8.1,Role-Playing,Xseed Games
The Legend of Heroes: Trails of Cold Steel III,0.13,2019-09-24,7.0,Role-Playing,NIS America
The Legend of Legacy,0.29,2015-10-13,6.0,Role-Playing,Atlus
The Legend of Spyro: A New Beginning,0.56,2006-10-10,6.5,Platform,Sierra Entertainment
The Legend of Zelda: Four Swords Adventures,0.81,2004-06-07,8.4,Adventure,Nintendo
The Legend of Zelda: Oracle of Ages,1.92,2001-05-13,9.4,Adventure,Nintendo
The Legend of Zelda: Oracle of Seasons,1.86,2001-05-13,9.3,Adventure,Nintendo
The Legendary Starfy,0.85,2009-06-08,7.1,Platform,Nintendo
The Lord of the Rings: Aragorn's Quest,0.23,2010-09-14,6.4,Action,Warner Bros. Interactive
The Lord of the Rings: Conquest,1.5,2009-01-13,5.5,Action,Electronic Arts
The Lord of the Rings: The Battle for Middle-Earth II,0.07,2006-03-02,8.0,Strategy,Electronic Arts
The Lord of the Rings: The Return of the King,5.67,2003-11-05,7.4,Action,Electronic Arts
The Lord of the Rings: The Third Age,0.29,2004-11-02,7.9,Role-Playing,Electronic Arts
The Lord of the Rings: The Two Towers,4.67,2002-10-21,8.3,Action,Electronic Arts
The Lord of the Rings: War in the North,1.91,2011-11-01,6.5,Role-Playing,Warner Bros. Interactive
The Lost Child,0.03,2018-06-19,7.5,Role-Playing,NIS America
The Mark,0.0,2007-02-26,3.0,Shooter,DreamCatcher Interactive
The Matrix: Path of Neo,0.8,2005-11-07,6.6,Action,Atari
The Movies,0.04,2005-11-08,8.2,Simulation,Lionhead Studios
The Munchables,0.18,2009-05-26,8.0,Action,Namco Bandai
The Next BIG Thing,0.06,2011-04-21,6.8,Adventure,Focus Home Interactive
The Nightmare of Druaga: Fushigino Dungeon,0.05,2004-10-26,6.4,Role-Playing,Namco
The Operative: No One Lives Forever,0.14,2000-11-09,6.8,Shooter,Fox Interactive
The Orange Box,3.0300000000000002,2007-10-10,8.7,Shooter,Electronic Arts
The Order: 1886,1.62,2015-02-20,6.2,Shooter,Sony Computer Entertainment
The Outfit,0.25,2006-03-13,7.0,Action,THQ
The Polar Express,0.11,2004-11-02,3.3,Adventure,THQ
The Powerpuff Girls: Relish Rampage,0.45,2002-11-24,3.8,Action,BAM! Entertainment
The Rub Rabbits!,0.07,2006-02-13,7.3,Puzzle,Sega
The Saboteur,1.05,2009-12-08,7.1,Action,Electronic Arts
The Scorpion King: Rise of the Akkadian,0.11,2002-09-11,5.2,Action,Universal Interactive
The Settlers 7: Paths to a Kingdom,0.31,2010-03-23,7.8,Strategy,Ubisoft
The Simpsons Game,3.0100000000000002,2007-10-30,6.0,Platform,Electronic Arts
The Simpsons: Hit & Run,5.69,2003-09-16,7.7,Racing,VU Games
The Simpsons: Road Rage,3.8499999999999996,2001-11-24,6.0,Racing,Electronic Arts
